LigandID,pIC50,canonical_smiles,ATSC4c,ATSC7i,GATS4d,SdCH2,SdssC,BIC4,SMR_VSA4,n7Ring,n7HRing,nG12FARing
CHEMBL4289758,4.41,CC(=O)N[C@H]1[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6cn(-c7cccc(Br)c7)nn6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,-0.777168688,-50.05835249,1.120914483,0,0.912998776,0.901430463,50.24366095,0,0,1
CHEMBL4778473,4.52,O=C(c1cn(Cc2ccccc2)nn1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.067602683,12.21191632,1.198832588,0,-0.235119678,0.853976032,0,0,0,0
CHEMBL4125988,3.81,C/C(C#Cc1ccccc1)=N\N/C(N)=N/S(=O)(=O)c1cc(C)c(Cl)cc1SCc1cccc(Cl)c1,0.260577656,-59.20070921,1.16607977,0,0.022000219,0.895535947,15.232786,0,0,0
CHEMBL4174731,4.1,FC(F)(F)c1ccc(-n2nnnc2Nc2nccs2)cc1,0.124813508,6.388480941,0.86998088,0,0,0.890215765,0,0,0,0
CHEMBL4096981,5.17,CCc1noc(-c2cc3c(OC)c4ccccc4c(OC)c3s2)n1,-0.129740249,-22.76336592,1.411064426,0,0,0.81363989,0,0,0,0
CHEMBL2012329,4.89,CC(C)Cc1ccc(C(C)C(=O)NNC(=O)NC(c2ccccc2)c2ccccc2)cc1,-0.448002272,-6.092821705,1.053557882,0,-0.746972913,0.839145491,5.917906046,0,0,0
CHEMBL4755279,3.86,COc1ccc(-n2nnnc2Nc2cccc(Br)c2)cc1,-0.017202261,15.54984175,0.966442953,0,0,0.903071789,0,0,0,0
CHEMBL449329,3.6,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,0.342331215,-6.653674805,0.977653026,0,0,0.913847882,0,0,0,0
CHEMBL4577957,6.08,COc1ccc(C(C(=O)NC(C)(C)C)N(C(=O)/C=C/C(=O)c2ccc(C)cc2)C(C)C)cc1,-0.331938491,-43.17503206,1.072745245,0,-0.990265261,0.821909697,0,0,0,0
CHEMBL4159114,4.7,COc1cc(/C(=C\c2ccccc2SC)C(=O)O)cc(OC)c1OC,0.232955135,-12.06191011,1.390496497,0,-0.897285053,0.825768345,0,0,0,0
